[CFLAT] rand_beebs | branches=0 calls=0 returns=1
[CFLAT] srand_beebs | branches=0 calls=0 returns=1
[CFLAT] init_heap_beebs | branches=0 calls=0 returns=1
[CFLAT] check_heap_beebs | branches=0 calls=0 returns=1
[CFLAT] malloc_beebs | branches=4 calls=0 returns=1
[CFLAT] calloc_beebs | branches=2 calls=1 returns=1
[CFLAT] realloc_beebs | branches=10 calls=0 returns=1
[CFLAT] free_beebs | branches=0 calls=0 returns=1
[CFLAT] sglib_dllist_add | branches=5 calls=0 returns=1
[CFLAT] sglib_dllist_add_after | branches=5 calls=0 returns=1
[CFLAT] sglib_dllist_add_before | branches=5 calls=0 returns=1
[CFLAT] sglib_dllist_add_if_not_member | branches=22 calls=0 returns=1
[CFLAT] sglib_dllist_add_after_if_not_member | branches=22 calls=0 returns=1
[CFLAT] sglib_dllist_add_before_if_not_member | branches=22 calls=0 returns=1
[CFLAT] sglib_dllist_concat | branches=14 calls=0 returns=1
[CFLAT] sglib_dllist_delete | branches=9 calls=0 returns=1
[CFLAT] sglib_dllist_delete_if_member | branches=26 calls=0 returns=1
[CFLAT] sglib_dllist_is_member | branches=15 calls=0 returns=1
[CFLAT] sglib_dllist_find_member | branches=15 calls=0 returns=1
[CFLAT] sglib_dllist_get_first | branches=6 calls=0 returns=1
[CFLAT] sglib_dllist_get_last | branches=6 calls=0 returns=1
[CFLAT] sglib_dllist_sort | branches=48 calls=0 returns=1
[CFLAT] sglib_dllist_len | branches=9 calls=0 returns=1
[CFLAT] sglib_dllist_reverse | branches=8 calls=0 returns=1
[CFLAT] sglib_dllist_it_init_on_equal | branches=2 calls=1 returns=1
[CFLAT] sglib_dllist_it_next | branches=19 calls=0 returns=1
[CFLAT] sglib_dllist_it_init | branches=0 calls=1 returns=1
[CFLAT] sglib_dllist_it_current | branches=0 calls=0 returns=1
[CFLAT] ilist_hash_function | branches=0 calls=0 returns=1
[CFLAT] sglib_ilist_is_member | branches=6 calls=0 returns=1
[CFLAT] sglib_ilist_find_member | branches=6 calls=0 returns=1
[CFLAT] sglib_ilist_add_if_not_member | branches=8 calls=0 returns=1
[CFLAT] sglib_ilist_add | branches=0 calls=0 returns=1
[CFLAT] sglib_ilist_concat | branches=7 calls=0 returns=1
[CFLAT] sglib_ilist_delete | branches=6 calls=0 returns=1
[CFLAT] sglib_ilist_delete_if_member | branches=8 calls=0 returns=1
[CFLAT] sglib_ilist_sort | branches=38 calls=0 returns=1
[CFLAT] sglib_ilist_len | branches=3 calls=0 returns=1
[CFLAT] sglib_ilist_reverse | branches=3 calls=0 returns=1
[CFLAT] sglib_ilist_it_init_on_equal | branches=0 calls=1 returns=1
[CFLAT] sglib_ilist_it_next | branches=9 calls=0 returns=1
[CFLAT] sglib_ilist_it_init | branches=0 calls=1 returns=1
[CFLAT] sglib_ilist_it_current | branches=0 calls=0 returns=1
[CFLAT] sglib_hashed_ilist_init | branches=4 calls=0 returns=1
[CFLAT] sglib_hashed_ilist_add | branches=0 calls=2 returns=1
[CFLAT] sglib_hashed_ilist_add_if_not_member | branches=0 calls=2 returns=1
[CFLAT] sglib_hashed_ilist_delete | branches=0 calls=2 returns=1
[CFLAT] sglib_hashed_ilist_delete_if_member | branches=0 calls=2 returns=1
[CFLAT] sglib_hashed_ilist_is_member | branches=0 calls=2 returns=1
[CFLAT] sglib_hashed_ilist_find_member | branches=0 calls=2 returns=1
[CFLAT] sglib_hashed_ilist_it_init_on_equal | branches=2 calls=2 returns=1
[CFLAT] sglib_hashed_ilist_it_next | branches=5 calls=2 returns=1
[CFLAT] sglib_hashed_ilist_it_init | branches=0 calls=1 returns=1
[CFLAT] sglib_hashed_ilist_it_current | branches=0 calls=1 returns=1
[CFLAT] sglib_iq_init | branches=0 calls=0 returns=1
[CFLAT] sglib_iq_is_empty | branches=0 calls=0 returns=1
[CFLAT] sglib_iq_is_full | branches=0 calls=0 returns=1
[CFLAT] sglib_iq_first_element | branches=0 calls=0 returns=1
